Id,First Name,Last Name,Territory
SR1,Jessica,Schubert,T1
SR2,Sandra,Freeman,T1
SR3,Richard,Ochoa,T1
SR4,Matthew,Hilliard,T1
SR5,Elizabeth,Carone,T2
SR6,Johanna,Gage,T2
SR7,Janice,Vivier,T2
SR8,Barbara,Rhodes,T2
SR9,Hazel,Santana,T2
SR10,Donna,Meadows,T3
SR11,William,Freeman,T3
SR12,Michael,Allen,T3
SR13,Rosa,Nelson,T3
SR14,Eric,Cheng,T4
SR15,Peter,Smith,T4
SR16,Iona,Coelho,T4
SR17,Richard,Armstrong,T4
SR18,Herluf,Vistnes,T5
SR19,Marie,Schultheiss,T5
SR20,Ann,Haug,T5
SR21,Mikko,Hasu,T5
SR22,Alfredino,Russo,T6
SR23,Jules,Giroux,T6
SR24,Leardo,Palerma,T6
SR25,Maryam,Srour,T7
SR26,Schlomo,Goldstein,T7
SR27,Hui,Cheng,T8
SR28,Wen,Song,T8
SR29,Carolyn,Monsen,T9
